,INN_Name,BrandName,Phase,Applicants,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase_families,First_Approval,SC_Patent,Chirality,Synonyms,FDA_approved,Melting_points_C,Canonical_Smiles,InChIKey
0,Leniolisib,,0.0,Novartis,9NQ,['5o83'],,0,450.2,2.9,83.5,7,1,5,,,,,,Single Stereoisomer,"['CDZ173-NX', 'Leniolisib']",,,CCC(=O)N1CC[C@@H](C1)Nc2c3c(ncn2)CCN(C3)c4cc(c(nc4)OC)C(F)(F)F,MWKYMZXCGYXLPL-ZDUSSCGKSA-N
1,Nemiralisib,,0.0,GlaxosmithKline,VVX,['5ae8'],,0,440.2,4.9,77.0,5,2,5,,,,,,Single Stereoisomer,"['GSK2269557A', 'GSK-2269557', 'Nemiralisib']",,,CC(C)N1CCN(CC1)Cc2cnc(o2)c3cc(cc4c3cn[nH]4)c5cccc6c5cc[nH]6,MCIDWGZGWVSZMK-UHFFFAOYSA-N
2,Oclacitinib,,0.0,Pfizer,,,,0,337.2,1.5,91.0,5,2,5,,"['JAK1', 'JAK2', 'JAK3']",['Tyr'],,,Single Stereoisomer,"['Oclacitinib', 'JAKI', 'PF-03394197']",,,CNS(=O)(=O)C[C@H]1CC[C@@H](CC1)N(c2ncnc3c2cc[nH]3)C,HJWLJNBZVZDLAQ-HAQNSBGRSA-N
3,Toceranib,,0.0,Pfizer,,,,0,396.2,3.1,77.2,3,3,5,,['KIT'],['KIT'],,,Achiral Molecule,"['PHA-291639', 'Toceranib']",,,Cc1c([nH]c(c1C(=O)NCCN2CCCC2)C)/C=C\3/c4cc(ccc4NC3=O)F,SRSGVKWWVXWSJT-ATVHPVEESA-N
4,Dezapelisib,,0.0,Incyte Corporation,,,,0,421.1,3.7,100.9,8,2,4,,,,,,Single Stereoisomer,"['INCB040093', 'Dezapelisib']",,,Cc1csc2n1c(=O)c(c(n2)[C@H](C)Nc3c4c([nH]cn4)ncn3)c5cccc(c5)F,RSIWALKZYXPAGW-NSHDSACASA-N
5,Mavelertinib,,0.0,Pfizer,,,,0,415.2,0.7,115.0,10,2,6,,,,,,Single Stereoisomer,"['PF-06747775', 'Mavelertinib']",,,Cn1cc(c(n1)OC)Nc2c3c(nc(n2)N4C[C@H]([C@@H](C4)F)NC(=O)C=C)n(cn3)C,JYIUNVOCEFIUIU-GHMZBOCLSA-N
6,Selatinib,,1.0,Qilu Pharmaceutical,,,,2,564.1,6.5,89.3,7,2,11,,"['EGFR', 'ERBB2']",['Tyr'],,,,[],,,CS(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,OAMVGUFHZPRXOM-UHFFFAOYSA-N
7,Rivoceranib,,1.0,Advenchen Laboratories,,,,0,493.2,4.2,145.1,7,3,6,Rivoceranib Mesylate is a novel selective inhibitor of vascular endothelial growth factor receptor 2 (vegfr2),,,,,,['YN-968D1'],,,CS(=O)(=O)O.c1cc(c(nc1)NCc2ccncc2)C(=O)Nc3ccc(cc3)C4(CCCC4)C#N,FYJROXRIVQPKRY-UHFFFAOYSA-N
8,Panulisib,,1.0,Piramal Enterprises,,,,1,527.2,4.8,134.5,9,1,3,,"['PIK3CA', 'MTOR']",['Atypical'],,,Single Stereoisomer,[],,,CC(C)(C#N)c1ccc(cn1)n2c3c4cc(ccc4ncc3n(c2=NC#N)C)c5cc(c(nc5)N)C(F)(F)F,VJLRLTSXTLICIR-UHFFFAOYSA-N
9,Recilisib,['Ex-RAD'],1.0,Onconova Therapeutics,,,,0,336.0,3.6,71.4,3,1,5,,,,,,Achiral Molecule,"['Ex-RAD', 'ON-01210', 'ON-01210.Na', 'Recilisib']",,,c1cc(ccc1CS(=O)(=O)/C=C/c2ccc(cc2)C(=O)O)Cl,KBEKQQJUNVQLDZ-MDZDMXLPSA-N
